img,label
0647MH0003250050203806E01_DRCL.JPG,1
0605MH0003060010203269I01_DRCL.JPG,1
0584MH0003620020202285I01_DRCL.JPG,1
0585MH0002970020202775I01_DRCL.JPG,1
0882MH0003900000302471I01_DRCL.JPG,1
0585MH0002970020202906I01_DRCL.JPG,1
0696MH0003630020204109I01_DRCL.JPG,1
0585MH0002970020202764I01_DRCL.JPG,1
0574MH0003250050201909I01_DRCL.JPG,1
0584MH0003620020202318I01_DRCL.JPG,1
0605MH0003060020203273I01_DRCL.JPG,1
0584MH0003620020202296I01_DRCL.JPG,1
0696MH0003060020204078I01_DRCL.JPG,1
0696MH0003630020204114I01_DRCL.JPG,1
0582MH0003250050201910E01_DRCL.JPG,1
0584MH0003620020202316I01_DRCL.JPG,1
0585MH0002970020202822I01_DRCL.JPG,1
0605MH0003060020203256I01_DRCL.JPG,1
0696MH0003630010204106C00_DRCL.JPG,1
0584MH0003620020202306I01_DRCL.JPG,1
0882MH0003900000302461I01_DRCL.JPG,1
0585MH0002970020202889I01_DRCL.JPG,1
0605MH0003060020203245I01_DRCL.JPG,1
0869MH0002970010302265C00_DRCL.JPG,1
0605MH0003060020203243I01_DRCL.JPG,1
0585MH0002970020202913I01_DRCL.JPG,1
0696MH0003630020204100I01_DRCL.JPG,1
0868MH0003900000302220I01_DRCL.JPG,1
0565MH0003250050201853I01_DRCL.JPG,1
0584MH0003630020202401I01_DRCL.JPG,1
0585MH0003080000202485I01_DRCL.JPG,1
0868MH0003900000302221I01_DRCL.JPG,1
0651MH0003250050203824I01_DRCL.JPG,1
0584MH0003620020202307I01_DRCL.JPG,1
0605MH0003060020203264I01_DRCL.JPG,1
0882MH0003900000302461E01_DRCL.JPG,1
0584MH0003630010202400C00_DRCL.JPG,1
0584MH0003630010202410I01_DRCL.JPG,1
0584MH0003620020202321I01_DRCL.JPG,1
0882MH0003900000302462I01_DRCL.JPG,1
0585MH0002970020202774I01_DRCL.JPG,1
0584MH0003620020202301I01_DRCL.JPG,1
0696MH0003630010204096I01_DRCL.JPG,1
